Date, Open, High, Low, Close, Volume
04/11/19, 120.54, 120.85, 119.92, 120.33, 14209120
04/10/19, 119.76, 120.35, 119.54, 120.19, 16477170
04/09/19, 118.63, 119.54, 118.58, 119.28, 17611980
04/08/19, 119.81, 120.02, 118.64, 119.93, 15116190
04/05/19, 119.39, 120.23, 119.37, 119.89, 15826250
04/04/19, 120.10, 120.23, 118.38, 119.36, 20112850
04/03/19, 119.86, 120.43, 119.15, 119.97, 22860740
04/02/19, 119.06, 119.48, 118.52, 119.19, 18142301
04/01/19, 118.95, 119.1085, 118.10, 119.02, 22789100
03/29/19, 118.07, 118.32, 116.96, 117.94, 25399750
03/28/19, 117.44, 117.58, 116.13, 116.93, 18334760
03/27/19, 117.875, 118.21, 115.5215, 116.77, 22733430
03/26/19, 118.62, 118.705, 116.85, 117.91, 26097670
03/25/19, 116.56, 118.01, 116.3224, 117.66, 27067119
03/22/19, 119.50, 119.59, 117.04, 117.05, 33624527
03/21/19, 117.135, 120.82, 117.09, 120.22, 29854449
03/20/19, 117.39, 118.75, 116.71, 117.52, 28113340
03/19/19, 118.09, 118.44, 116.99, 117.65, 37588699
03/18/19, 116.17, 117.61, 116.05, 117.57, 31207600
03/15/19, 115.34, 117.25, 114.59, 115.91, 54630660
03/14/19, 114.54, 115.20, 114.33, 114.59, 30763369
03/13/19, 114.13, 115.00, 113.78, 114.50, 35513770
03/12/19, 112.82, 113.99, 112.6499, 113.62, 26132721
03/11/19, 110.99, 112.95, 110.98, 112.83, 26491619
03/08/19, 109.16, 110.71, 108.80, 110.51, 22818430
03/07/19, 111.40, 111.55, 109.865, 110.39, 25338949
03/06/19, 111.87, 112.66, 111.43, 111.75, 17687000
03/05/19, 112.25, 112.39, 111.23, 111.70, 19538320
03/04/19, 113.02, 113.25, 110.80, 112.26, 26608010
03/01/19, 112.89, 113.02, 111.665, 112.53, 23501170
02/28/19, 112.04, 112.88, 111.73, 112.03, 29083930
02/27/19, 111.69, 112.36, 110.88, 112.17, 21487061
02/26/19, 111.26, 113.24, 111.17, 112.36, 21536730
02/25/19, 111.76, 112.18, 111.26, 111.59, 23750600
02/22/19, 110.05, 111.20, 109.82, 110.97, 27763221
02/21/19, 106.90, 109.48, 106.87, 109.41, 29063230
02/20/19, 107.86, 107.94, 106.29, 107.15, 21607670
02/19/19, 107.79, 108.66, 107.78, 108.17, 18038461
02/15/19, 107.91, 108.30, 107.3624, 108.22, 26606891
02/14/19, 106.31, 107.29, 105.66, 106.90, 21784699
02/13/19, 107.50, 107.78, 106.71, 106.81, 18394869
02/12/19, 106.14, 107.14, 105.48, 106.89, 25056600
02/11/19, 106.20, 106.58, 104.965, 105.25, 18914119
02/08/19, 104.39, 105.78, 104.2603, 105.67, 21461090
02/07/19, 105.185, 105.59, 104.29, 105.27, 29760699
02/06/19, 107.00, 107.00, 105.53, 106.03, 20609760
02/05/19, 106.06, 107.27, 105.96, 107.22, 27325369
02/04/19, 102.87, 105.80, 102.77, 105.74, 31315279
02/01/19, 103.775, 104.0999, 102.35, 102.78, 35535688
01/31/19, 103.80, 105.22, 103.18, 104.43, 55636391
01/30/19, 104.62, 106.38, 104.33, 106.38, 49471871
01/29/19, 104.88, 104.97, 102.17, 102.94, 31490551
